Customer Code,# of Receivers,Profit per Receiver,Profit per Receiver Bucket,# of PPV Orders (last 12 Months),Profit per PPV order,Profit per PPV order Bucket,DVR Service,DVR Service Profit,DVR Service Profit Bucket,HD Programming Service,HD Service Profit,HD Service Profit Bucket,Total Profit,Total Profit Buckets,Responder Rating,Est. Mortgage Loan Amount,Dwelling Type,Photography,Gardening,Cooking,Gourmet Food,Home Business,Readers,New Age,Upscale,Computer,Age,Marital Status,Education,Household Income,Gender,Homeowner,Number of Total Rooms,Customer Count,Age Group,Dwelling Type Details,Education Status Details,Cluster
100,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,100320,3,0,0,0,0,0,0,0,0,0,31,0,2,30000,0,0,6.08,1,25-34,Condo,Some College,1
101,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,110515,4,0,0,0,0,0,0,0,0,0,39,0,3,30000,0,0,6.52,1,35-44,Unknown,Completed College,1
102,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,4,123692,4,0,1,0,0,0,1,0,1,1,81,1,1,30000,0,1,4,1,70-Above,Unknown,High School,1
103,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,120709,4,0,0,0,0,0,0,0,0,1,47,0,3,30000,0,0,7.5,1,45-54,Unknown,Completed College,1
104,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,110515,2,0,0,0,0,0,0,0,0,0,44,0,3,30000,0,0,5,1,35-44,Single Family,Completed College,1
105,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,110515,2,0,0,0,0,0,0,0,0,0,45,0,1,30000,0,0,5.84,1,45-54,Single Family,High School,1
106,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,97771,4,0,0,0,0,0,0,0,0,0,43,0,1,30000,0,0,14,1,35-44,Unknown,High School,1
107,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,105417,3,0,0,0,0,0,0,0,0,0,58,0,1,30000,0,0,7.87,1,55-69,Condo,High School,1
108,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,250791,4,0,1,1,0,1,1,0,1,1,34,1,3,42500,0,1,8.67,1,25-34,Unknown,Completed College,1
109,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,91054,2,0,0,0,0,0,0,0,0,0,54,1,1,42500,0,0,5.25,1,45-54,Single Family,High School,1
110,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,127619,2,0,0,0,0,1,1,0,1,0,32,0,3,42500,0,1,8,1,25-34,Single Family,Completed College,1
111,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,118161,4,0,0,0,0,0,0,0,0,0,24,0,3,42500,0,0,6,1,18-24,Unknown,Completed College,1
112,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,113063,4,0,0,0,0,0,0,0,0,0,54,1,4,42500,0,0,6.5,1,45-54,Unknown,Graduate School,1
113,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,113063,2,0,1,1,0,0,1,0,0,1,31,0,1,42500,0,0,8,1,25-34,Single Family,High School,1
114,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,4,115612,4,0,0,1,1,0,1,1,0,1,60,0,2,42500,0,0,5,1,55-69,Unknown,Some College,1
115,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,4,129001,2,0,1,1,1,0,1,1,0,1,65,1,2,42500,0,0,4.76,1,55-69,Single Family,Some College,1
116,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,118161,4,0,0,0,0,0,0,0,0,1,33,1,2,42500,0,0,5,1,25-34,Unknown,Some College,1
117,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,107966,4,0,0,0,0,0,0,0,0,0,25,0,1,42500,0,0,6,1,25-34,Unknown,High School,1
118,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,120709,4,0,0,0,0,0,0,0,0,0,64,1,2,42500,0,0,8.86,1,55-69,Unknown,Some College,1
119,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,3,97771,2,0,0,1,0,1,0,0,0,1,35,1,2,42500,0,0,4,1,35-44,Single Family,Some College,1
120,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,1,125847,2,0,0,0,0,0,0,0,0,1,25,0,1,42500,0,1,4,1,25-34,Single Family,High School,1
121,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,110515,4,0,1,1,1,0,0,1,0,1,36,1,1,42500,0,0,6.5,1,35-44,Unknown,High School,1
122,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,145398,4,0,0,0,0,0,1,0,0,0,57,1,2,42500,0,1,8,1,55-69,Unknown,Some College,1
123,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,107966,2,0,0,0,0,0,1,0,0,0,20,0,1,42500,0,0,4,1,18-24,Single Family,High School,1
124,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,1,115612,4,0,0,0,0,0,0,0,0,0,42,1,3,42500,0,0,4.75,1,35-44,Unknown,Completed College,1
125,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,118161,4,0,0,0,0,0,0,0,0,1,48,0,1,42500,0,1,5,1,45-54,Unknown,High School,1
126,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,81681,2,0,0,1,0,1,1,0,0,0,52,1,2,42500,0,0,5,1,45-54,Single Family,Some College,1
127,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,105417,2,0,0,0,0,0,0,0,0,0,49,0,1,42500,0,0,5,1,45-54,Single Family,High School,1
128,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,101222,4,0,0,0,0,0,1,0,1,0,71,0,2,42500,0,0,5,1,70-Above,Unknown,Some College,1
129,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,110515,4,0,0,0,0,0,0,0,0,0,33,0,2,42500,0,0,5,1,25-34,Unknown,Some College,1
130,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,1,107966,2,0,0,0,0,0,0,0,0,0,38,0,1,42500,0,0,5,1,35-44,Single Family,High School,1
131,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,114859,2,0,0,1,1,1,1,1,1,1,38,0,2,42500,0,1,5.5,1,35-44,Single Family,Some College,1
132,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,118161,4,0,0,0,0,0,0,0,0,1,68,0,4,42500,0,0,6,1,55-69,Unknown,Graduate School,1
133,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,102869,2,0,0,1,1,0,1,1,1,1,31,1,2,42500,0,0,6,1,25-34,Single Family,Some College,1
